Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Are you male or female?,How old are you?,Are you?,,How would you describe your role?,,What would make you feel happier at work?,,,,,,"In the last month, how often have you felt...",,,,,,"In the last month, has anything happened to make you feel more positive about your working life? ",," In the last month, has anything happened to make you feel less positive about your working life?",,How do you think Brexit will affect your current employment?,
6704963371,169394296,02/19/2018 09:42:15 PM,02/19/2018 09:45:41 PM,82.11.155.182,,,,,Female,50+,Contracting,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,Realistic workloads ,Almost Never,Almost Never,Rarely / Not very often,Quite often,Quite often,Sometimes,No,,Yes,"Disrespected by managers and other professionals, expected to work 30+ hours a week for free. Pressure. ",I don't know,
6704963313,169394296,02/19/2018 09:42:14 PM,02/19/2018 09:44:42 PM,81.104.177.173,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,,Almost Never,Almost Never,Almost Never,Sometimes,Almost Never,Almost Never,Yes,Health cover used ,No,,Not at all,
6704962363,169394296,02/19/2018 09:41:46 PM,02/19/2018 09:43:22 PM,81.97.129.149,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,More recognition from management and colleagues,,,Rarely / Not very often,Sometimes,Quite often,Most of the time,Most of the time,Sometimes,No,,No,,In a negative way,
6704961299,169394296,02/19/2018 09:41:17 PM,02/19/2018 09:42:46 PM,94.6.215.97,,,,,Female,30 - 49,Employed,,Other (please specify),Assistant ,Instant benefits like cinema and retail discounts,,More money,,,,Rarely / Not very often,Sometimes,Rarely / Not very often,Almost Never,Almost Never,Rarely / Not very often,No,,Yes,Lack of structure and opportunity to learn ,I don't know,
6704961198,169394296,02/19/2018 09:40:49 PM,02/19/2018 09:41:27 PM,150.143.2.50,,,,,Female,30 - 49,Employed,,,,,,,,,,,,,,,,,,,,,
6704960870,169394296,02/19/2018 09:40:58 PM,02/19/2018 09:44:50 PM,79.75.128.206,,,,,Male,50+,Employed,,Frontline Employee / Team Member,,,,More money,,,,Rarely / Not very often,Rarely / Not very often,Sometimes,Rarely / Not very often,Most of the time,Rarely / Not very often,No,,Yes,Uncertainty. Cost of living. Pay.,In a negative way,
6704959817,169394296,02/19/2018 09:40:19 PM,02/19/2018 09:40:43 PM,217.44.253.91,,,,,Female,18 - 29,Employed,,,,,,,,,,,,,,,,,,,,,
6704954518,169394296,02/19/2018 09:37:56 PM,02/19/2018 09:40:06 PM,86.0.131.226,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,,More money,,,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Yes,I got a new job,No,,In a negative way,
6704952127,169394296,02/19/2018 09:34:57 PM,02/19/2018 09:36:58 PM,213.205.251.120,,,,,Female,18 - 29,Other,Not currently working due to ill health,,,,,,,,,,,,,,,,,,,,
6704951746,169394296,02/19/2018 09:36:36 PM,02/19/2018 09:41:01 PM,213.205.251.10,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,,More sense of us having a real influence (charity sector). Being in a national not a local. ,Almost Never,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,Yes,Offered internal promotion when manager left. More money and has built up my low confidence.,Yes,Other people I like made redundant. Sense of crisis in NHS and worsening sense of value placed on charity sector by society. ,In a negative way,
6704951029,169394296,02/19/2018 09:36:13 PM,02/19/2018 09:37:57 PM,89.241.252.128,,,,,Male,50+,Employed,,Frontline Employee / Team Member,,,,More money,,,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Quite often,Yes,Started a new job,No,,In a negative way,
6704949784,169394296,02/19/2018 09:35:05 PM,02/19/2018 09:38:51 PM,178.104.152.22,,,,,Female,30 - 49,Employed,,Other (please specify),Teaching Assistant/SSA,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Rarely / Not very often,Sometimes,Sometimes,Sometimes,Quite often,Quite often,No,,Yes,Changes in role. More responsibilities. No improvement in salary.,I don't know,
6704949610,169394296,02/19/2018 09:35:18 PM,02/19/2018 09:37:27 PM,86.178.43.161,,,,,Female,18 - 29,Employed,,Team Leader / Manager,,Instant benefits like cinema and retail discounts,,More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Quite often,Quite often,Most of the time,Most of the time,Most of the time,Quite often,No,,No,,In a negative way,
6704948034,169394296,02/19/2018 09:34:38 PM,02/19/2018 09:38:52 PM,2.28.184.62,,,,,Female,30 - 49,Self-Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,Pension scheme/ sick pay,Most of the time,Quite often,Most of the time,Most of the time,Most of the time,Sometimes,No,,Yes,"More stress the charity obtained additional funding leading to increased workload and pressure, no additional hours or salary increase. ",Not at all,
6704947000,169394296,02/19/2018 09:34:09 PM,02/19/2018 09:38:48 PM,86.14.186.113,,,,,Female,50+,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Sometimes,Quite often,Quite often,Most of the time,Quite often,Most of the time,Yes,Being told I’m amazing at my job! ??,Yes,Performance management review looming??. Having to constantly prove you can do your job gets tiring and stressful  and takes the pleasure out of it.,I don't know,
6704944842,169394296,02/19/2018 09:32:59 PM,02/19/2018 09:36:41 PM,79.76.84.157,,,,,Female,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,More recognition from management and colleagues,,,Almost Never,Sometimes,Sometimes,Most of the time,Quite often,Quite often,No,,Yes,Redundancy and poor management decisions ,Not at all,
6704941513,169394296,02/19/2018 09:31:10 PM,02/19/2018 09:34:28 PM,176.252.14.4,,,,,Female,18 - 29,Employed,,Team Leader / Manager,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Sometimes,Most of the time,Quite often,Quite often,Almost Never,Sometimes,No,,Yes,So stressed I had an anxiety attack. ,I don't know,
6704937846,169394296,02/19/2018 09:29:34 PM,02/19/2018 09:32:16 PM,109.146.130.148,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,,More recognition from management and colleagues,,,Sometimes,Sometimes,Sometimes,Quite often,Quite often,Sometimes,No,,No,,I don't know,
6704937007,169394296,02/19/2018 09:29:17 PM,02/19/2018 09:31:32 PM,90.198.62.235,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,,Almost Never,Rarely / Not very often,Sometimes,Quite often,Most of the time,Quite often,No,,Yes,Suspension for suspicion of theft,In a negative way,
6704935054,169394296,02/19/2018 09:28:18 PM,02/19/2018 09:31:09 PM,86.169.69.76,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,,Almost Never,Rarely / Not very often,Sometimes,Sometimes,Sometimes,Quite often,No,,Yes,Contact from a recruiter about a competitive role for much more money. I have asked for a pay rise armed with this info and awaiting a response.,I don't know,
6704934096,169394296,02/19/2018 09:27:59 PM,02/19/2018 09:29:14 PM,86.153.133.174,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,,,Almost Never,Sometimes,Almost Never,Almost Never,Rarely / Not very often,Quite often,Yes,Has been busier and less cold ,No,,In a negative way,
6704931768,169394296,02/19/2018 09:26:48 PM,02/19/2018 09:27:58 PM,90.195.108.80,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,More recognition from management and colleagues,,,Quite often,Sometimes,Quite often,Most of the time,Most of the time,Quite often,No,,No,,In a negative way,
6704929126,169394296,02/19/2018 09:25:36 PM,02/19/2018 09:28:39 PM,81.97.41.65,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,Instant benefits like cinema and retail discounts,,,,,To be recognised financially for the extra effort I put in. A mention in the newsletter is nice but so is pizza ,Rarely / Not very often,Sometimes,Rarely / Not very often,Most of the time,Most of the time,Quite often,Yes,I have great successes with the people I support ,Yes,My manager is a bully. She denies saying things and blames us for everything. ,Other (please specify),Already has funding has disappeared 
6704927736,169394296,02/19/2018 09:24:46 PM,02/19/2018 09:25:07 PM,213.205.251.154,,,,,Female,30 - 49,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6704923805,169394296,02/19/2018 09:22:28 PM,02/19/2018 09:25:20 PM,82.6.51.120,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,,,,Working less hours for the same money,Almost Never,Rarely / Not very often,Sometimes,Most of the time,Quite often,Quite often,No,,Yes,Boss is a pain,I don't know,
6704923046,169394296,02/19/2018 09:22:51 PM,02/19/2018 09:25:05 PM,90.254.45.230,,,,,Female,18 - 29,Employed,,Other (please specify),Support worker,,,More money,More recognition from management and colleagues,,,Almost Never,Sometimes,Sometimes,Most of the time,Most of the time,Rarely / Not very often,No,,No,Being short staffed ,Not at all,
6704920508,169394296,02/19/2018 09:21:30 PM,02/19/2018 09:23:03 PM,89.240.33.105,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,,,Rarely / Not very often,Sometimes,Rarely / Not very often,Quite often,Rarely / Not very often,Quite often,No,,No,,In a negative way,
6704918232,169394296,02/19/2018 09:20:29 PM,02/19/2018 09:22:59 PM,78.150.161.227,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,More recognition from management and colleagues,,,Quite often,Quite often,Quite often,Sometimes,Most of the time,Sometimes,Yes,Was graded as outstanding by one of the trust directors,Yes,Little recognition from senior leadership team and difficult parents to deal with,Not at all,
6704917941,169394296,02/19/2018 09:20:17 PM,02/19/2018 09:22:12 PM,86.25.192.89,,,,,Female,30 - 49,Employed,,Senior Manager / Department Head,,,,More money,,,More flexibility ,Almost Never,Rarely / Not very often,Almost Never,Almost Never,Almost Never,Sometimes,No,,Yes,,I don't know,
6704916805,169394296,02/19/2018 09:19:42 PM,02/19/2018 09:22:59 PM,149.254.248.116,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,,,,Rarely / Not very often,Sometimes,Rarely / Not very often,Sometimes,Rarely / Not very often,Sometimes,No,,Yes,"My employer made over a thousand people redundant while taking a three million pound dividend, then offered us peasants a 17 per hour pay rise. We are all wondering why we bother.",In a negative way,
6704915163,169394296,02/19/2018 09:18:53 PM,02/19/2018 09:22:33 PM,94.174.162.39,,,,,Female,30 - 49,Employed,,Team Leader / Manager,,,,More money,More recognition from management and colleagues,,,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Quite often,No,,Yes,That nothing much changes. I can't get a parish.  There's no money in the arts. Everyone else is stretched.,Other (please specify),I think that more cuts to arts and loss of funding from Europe will impact the amount of jobs available. 
6704913438,169394296,02/19/2018 09:18:03 PM,02/19/2018 09:20:37 PM,82.20.63.212,,,,,Female,50+,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,More recognition from management and colleagues,,,Almost Never,Almost Never,Almost Never,Rarely / Not very often,Sometimes,Sometimes,No,,Yes,The employer got investors in people status. How???? ,In a negative way,
6704907314,169394296,02/19/2018 09:15:05 PM,02/19/2018 09:22:37 PM,51.6.11.23,,,,,Female,30 - 49,Employed,,Team Leader / Manager,,,,,,,I would like support in my role... i would like less stress,Almost Never,Almost Never,Rarely / Not very often,Sometimes,Almost Never,Sometimes,Yes,The only upshot of my jobis that sometimes i get to help service users directly,Yes,I have had to deal with an incident without the support of my manager or other team staff. Feels like im due to be thrown under the corporate buss for something im not responsible for,Not at all,
6704904162,169394296,02/19/2018 09:13:37 PM,02/19/2018 09:15:45 PM,80.235.151.102,,,,,Female,30 - 49,Self-Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,,,Sometimes,Rarely / Not very often,Quite often,Quite often,Most of the time,Quite often,No,,Yes,One of the centres I work in has been closed due to loss of funding. ,In a negative way,
6704903842,169394296,02/19/2018 09:13:27 PM,02/19/2018 09:16:27 PM,85.210.47.202,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,Nicer line manager,Rarely / Not very often,Quite often,Quite often,Quite often,Quite often,Sometimes,No,,Yes, line manager ,I don't know,
6704900941,169394296,02/19/2018 09:12:06 PM,02/19/2018 09:15:16 PM,82.69.217.222,,,,,Female,18 - 29,Self-Employed,,Other (please specify),Just me - full time artist,,,,,,"Better statutory rights like sick pay, maternity pay, pension etc for self-employed.",Quite often,Most of the time,Most of the time,Most of the time,Most of the time,Rarely / Not very often,Yes,I normally just draw commissions of people and animals. I recently fled domestic violence and did some art as therapy for myself and also to raise awareness and the response I got to that was phenomenal.,No,,I don't know,
6704897872,169394296,02/19/2018 09:10:34 PM,02/19/2018 09:10:48 PM,85.255.234.125,,,,,Female,50+,Self-Employed,,,,,,,,,,,,,,,,,,,,,
6704895190,169394296,02/19/2018 09:09:16 PM,02/19/2018 09:11:06 PM,92.21.156.175,,,,,Female,30 - 49,Employed,,Senior Manager / Department Head,,,"Longer term benefits like life insurance, health insurance and hospital plans",,More recognition from management and colleagues,,,Quite often,Most of the time,Quite often,Quite often,Most of the time,Quite often,No,,Yes,Lack of opportunity for progression,In a negative way,
6704895096,169394296,02/19/2018 09:09:20 PM,02/19/2018 09:13:10 PM,217.44.47.122,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,Less micromanagement  More respect  ,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Sometimes,Rarely / Not very often,Most of the time,No,,Yes,Constant criticism  Colleagues condescending  Not kept informed of changes in work  Feel out the loop and out the clique  ,Not at all,
6704893303,169394296,02/19/2018 09:08:26 PM,02/19/2018 09:09:10 PM,95.145.171.57,,,,,Male,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,,,Almost Never,Sometimes,Rarely / Not very often,Sometimes,Rarely / Not very often,Rarely / Not very often,No,,No,,Not at all,
6704890643,169394296,02/19/2018 09:07:01 PM,02/19/2018 09:08:53 PM,212.139.119.235,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Sometimes,Sometimes,Quite often,Quite often,Quite often,Rarely / Not very often,No,,No,,I don't know,
6704889113,169394296,02/19/2018 09:06:21 PM,02/19/2018 09:09:31 PM,82.17.187.180,,,,,Female,30 - 49,Employed,,Team Leader / Manager,,,,More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Sometimes,Quite often,Sometimes,Quite often,Most of the time,Sometimes,Yes,Making great connections with awesome people who appreciate the work we do. ,Yes,"I'm pregnant and it's exhausting, I hate not being able to operate at my usual level and capacity. Though my team is great it's hard not to feel like I'm letting them down. ",In a negative way,
6704887347,169394296,02/19/2018 09:05:11 PM,02/19/2018 09:07:08 PM,2.223.130.8,,,,,Female,30 - 49,Other,Awaiting to start employment ,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",More guarantee of long time employment.  ,Quite often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,No,,No,,In a negative way,
6704885790,169394296,02/19/2018 09:04:41 PM,02/19/2018 09:07:18 PM,92.236.230.142,,,,,Female,50+,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,,,,Rarely / Not very often,Sometimes,Rarely / Not very often,Quite often,Sometimes,Most of the time,Yes,Got a new job,Yes,Poor support from my manager,I don't know,
6704883348,169394296,02/19/2018 09:03:18 PM,02/19/2018 09:06:51 PM,82.34.172.158,,,,,Female,50+,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,More money,,,,Rarely / Not very often,Quite often,Quite often,Most of the time,Most of the time,Sometimes,No,,Yes,Lack of funding,In a negative way,
6704882857,169394296,02/19/2018 09:03:14 PM,02/19/2018 09:04:54 PM,86.162.45.6,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Almost Never,Almost Never,Rarely / Not very often,Almost Never,Almost Never,Rarely / Not very often,No,,Yes,Lack of positive feedback from management,In a negative way,
6704882324,169394296,02/19/2018 09:03:09 PM,02/19/2018 09:04:30 PM,86.0.106.235,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,,,Quite often,Most of the time,Sometimes,Rarely / Not very often,Sometimes,Sometimes,No,,No,,Not at all,
6704880105,169394296,02/19/2018 09:01:52 PM,02/19/2018 09:03:08 PM,79.68.2.219,,,,,Female,30 - 49,Self-Employed,,Director / Company Owner,,,"Longer term benefits like life insurance, health insurance and hospital plans",,,,,Quite often,Quite often,Most of the time,Most of the time,Most of the time,Quite often,No,,No,,Not at all,
6704878729,169394296,02/19/2018 09:01:16 PM,02/19/2018 09:03:48 PM,2.222.48.168,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",,More recognition from management and colleagues,,,Rarely / Not very often,Sometimes,Sometimes,Sometimes,Quite often,Sometimes,No,,Yes,Illness and consequent worries over losing job and reduced income,Not at all,
6704876639,169394296,02/19/2018 09:00:20 PM,02/19/2018 09:00:33 PM,212.139.250.131,,,,,Female,18 - 29,Unemployed / Retired,,,,,,,,,,,,,,,,,,,,,
6704876252,169394296,02/19/2018 09:00:06 PM,02/19/2018 09:01:38 PM,2.219.186.149,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,More recognition from management and colleagues,,,Most of the time,Most of the time,Quite often,Quite often,Sometimes,Sometimes,No,,No,,Not at all,
6704875649,169394296,02/19/2018 08:59:49 PM,02/19/2018 09:03:05 PM,82.10.101.48,,,,,Male,50+,Employed,,Team Leader / Manager,,,,More money,More recognition from management and colleagues,,,Rarely / Not very often,Rarely / Not very often,Sometimes,Most of the time,Sometimes,Most of the time,No,,Yes,Working in a school providing a service and getting nothing but abuse from some of the pupils ,I don't know,
6704868246,169394296,02/19/2018 08:56:01 PM,02/19/2018 08:58:15 PM,95.149.193.129,,,,,Female,18 - 29,Other,University student,Other (please specify),Student,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Sometimes,Sometimes,Quite often,Quite often,Sometimes,Quite often,No,,No,,In a negative way,
6704866197,169394296,02/19/2018 08:55:09 PM,02/19/2018 08:56:39 PM,82.22.131.217,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Rarely / Not very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,No,,No,,I don't know,
6704860216,169394296,02/19/2018 08:52:25 PM,02/19/2018 08:54:38 PM,86.3.89.212,,,,,Female,30 - 49,Employed,,Team Leader / Manager,,,,,More recognition from management and colleagues,,,Rarely / Not very often,Almost Never,Sometimes,Sometimes,Rarely / Not very often,Rarely / Not very often,No,,Yes,Mistrust and negative attitudes and responses from management.,I don't know,
6704859698,169394296,02/19/2018 08:52:06 PM,02/19/2018 08:54:56 PM,2.124.57.93,,,,,Female,30 - 49,Self-Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",Mental health checks ,Rarely / Not very often,Quite often,Sometimes,Most of the time,Sometimes,Most of the time,Yes,More trading with a view to improving myself and my money ,Yes,Problems due to mental health making it a struggle for them to keep me on ,In a negative way,
6704857505,169394296,02/19/2018 08:51:13 PM,02/19/2018 08:52:57 PM,86.1.255.67,,,,,Female,30 - 49,Employed,,Team Leader / Manager,,,,,,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Almost Never,Sometimes,Quite often,Most of the time,Most of the time,Sometimes,No,,No,,In a negative way,
6704857079,169394296,02/19/2018 08:51:07 PM,02/19/2018 08:52:37 PM,176.249.46.180,,,,,Female,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",,More recognition from management and colleagues,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Quite often,Most of the time,Most of the time,Most of the time,Most of the time,Quite often,Yes,Had a pay rise and will be doing further training this year,No,,I don't know,
6704855935,169394296,02/19/2018 08:50:34 PM,02/19/2018 08:52:36 PM,86.172.96.133,,,,,Female,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Rarely / Not very often,Sometimes,Sometimes,Quite often,Sometimes,Sometimes,No,,Yes,Lack of work life balance ,Other (please specify),Will affect support staff
6704853671,169394296,02/19/2018 08:49:23 PM,02/19/2018 08:49:43 PM,85.255.235.103,,,,,Female,30 - 49,Employed,,,,,,,,,,,,,,,,,,,,,
6704850562,169394296,02/19/2018 08:47:56 PM,02/19/2018 08:50:56 PM,188.29.165.196,,,,,Female,50+,Employed,,Team Leader / Manager,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,,,Rarely / Not very often,Sometimes,Sometimes,Rarely / Not very often,Rarely / Not very often,Most of the time,No,,No,,I don't know,
6704850254,169394296,02/19/2018 08:47:54 PM,02/19/2018 08:48:15 PM,82.41.23.31,,,,,Female,Under 18,Other,student,,,,,,,,,,,,,,,,,,,,
6704848872,169394296,02/19/2018 08:47:04 PM,02/19/2018 08:47:30 PM,82.44.39.42,,,,,Female,18 - 29,Other,Student ,,,,,,,,,,,,,,,,,,,,
6704846861,169394296,02/19/2018 08:45:59 PM,02/19/2018 08:51:09 PM,82.132.218.180,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,More money,,,,Rarely / Not very often,Rarely / Not very often,Sometimes,Sometimes,Almost Never,Sometimes,No,,Yes,Increase of anxiety about finances and medical endoscopy procedure. Feeling more depressed.,In a negative way,
6704846611,169394296,02/19/2018 08:46:19 PM,02/19/2018 08:47:47 PM,86.155.246.248,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,,More recognition from management and colleagues,,,Almost Never,Almost Never,Almost Never,Almost Never,Almost Never,Most of the time,No,,Yes,"Bullying and harassment, boredom and lack of challenge ",In a negative way,
6704841836,169394296,02/19/2018 08:43:37 PM,02/19/2018 08:45:28 PM,90.198.107.92,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,More money,,"Wellbeing benefits, like employee assistance helplines, financial education and health advice",,Rarely / Not very often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,No,,No,,Not at all,
6704840225,169394296,02/19/2018 08:43:15 PM,02/19/2018 08:46:26 PM,92.233.33.171,,,,,Female,18 - 29,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,No,,Yes,,Other (please specify),Less funding
6704836722,169394296,02/19/2018 08:40:42 PM,02/19/2018 08:48:08 PM,109.156.37.196,,,,,Female,50+,Employed,,Team Leader / Manager,,,,,More recognition from management and colleagues,,I would feel happier if my manager would allow me to do the administration part  of my job and not undermine me and treat me as if I am stupid.,Almost Never,Rarely / Not very often,Rarely / Not very often,Almost Never,Almost Never,Most of the time,No,,Yes,My manager asks me to carry out tasks and let's me know what she would like done then goes behind me and changes everything back to how it was. She has snapped at me about the smallest thing and undermined my confidence. ,Not at all,
6704835659,169394296,02/19/2018 08:40:57 PM,02/19/2018 08:43:12 PM,86.184.84.100,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,,,,,,Sickpay,Rarely / Not very often,Sometimes,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,Most of the time,No,,Yes,Lack of respect for staff ,I don't know,
6704830494,169394296,02/19/2018 08:38:28 PM,02/19/2018 08:48:59 PM,90.255.208.81,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,,,,,I work for a global pharmaceutical comapny; they've absolutely nailed everything listed above. Even the money is brilliant.,Rarely / Not very often,Most of the time,Most of the time,Quite often,Most of the time,Quite often,Yes,"I'm an engineering apprentice at a manufacturing facility and have just been offered a job in my current department for when I finish my time, as an engineering tech. I love the managenent/my team, but I've applied for the same role (engineering tech) in the new building on site that will house all state of the art equipment. My current manager, although disappointed at my potential leaving, has been incredibly supportive and has said that even if i dont get the other role, i would still have every opportunity to develop within the business in my current department.",No,,I don't know,
6704828780,169394296,02/19/2018 08:37:45 PM,02/19/2018 08:38:50 PM,91.125.31.1,,,,,Female,18 - 29,Employed,,Team Leader / Manager,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,More recognition from management and colleagues,,,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / Not very often,Almost Never,No,,Yes,High level of turnover of staff ,In a negative way,
6704825793,169394296,02/19/2018 08:36:20 PM,02/19/2018 08:37:31 PM,90.255.56.11,,,,,Female,18 - 29,Employed,,Frontline Employee / Team Member,,,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,,,Almost Never,Rarely / Not very often,Sometimes,Rarely / Not very often,Rarely / Not very often,Rarely / Not very often,No,,Yes,Being told to do a task which wasn't thought through so I had to make lots of changes,I don't know,
6704825109,169394296,02/19/2018 08:35:39 PM,02/19/2018 08:38:45 PM,94.118.88.3,,,,,Female,30 - 49,Employed,,"Professional (e.g. Doctor, Lawyer, Accountant, Teacher etc)",,,,,,,More flexible working in order to have more time away from the office ,Sometimes,Quite often,Quite often,Quite often,Quite often,Sometimes,No,,No,,Not at all,
6704822897,169394296,02/19/2018 08:34:37 PM,02/19/2018 08:35:04 PM,195.194.178.189,,,,,Female,18 - 29,Other,student,,,,,,,,,,,,,,,,,,,,
6704817300,169394296,02/19/2018 08:32:05 PM,02/19/2018 08:33:02 PM,86.142.146.162,,,,,Female,18 - 29,Employed,,Team Leader / Manager,,,,More money,More recognition from management and colleagues,,,Almost Never,Sometimes,Rarely / Not very often,Rarely / Not very often,Almost Never,Sometimes,No,,No,,Not at all,
6704817050,169394296,02/19/2018 08:31:53 PM,02/19/2018 08:35:19 PM,82.16.113.166,,,,,Female,30 - 49,Employed,,Frontline Employee / Team Member,,Instant benefits like cinema and retail discounts,"Longer term benefits like life insurance, health insurance and hospital plans",More money,,,Sickness Pay,Rarely / Not very often,Quite often,Sometimes,Quite often,Quite often,Most of the time,Yes,Change from split role to just purchasing assistant role.,No,,I don't know,
